algorithm,graph,num_hosts,median_ms,std_ms,count,t1_ms,time_ratio,speedup,efficiency
bfs,livejournal,1,288.5,27.577164466275352,2,288.5,1.0,1.0,1.0
bfs,livejournal,2,241.5,9.192388155425117,2,288.5,0.8370883882149047,1.194616977225673,0.5973084886128365
bfs,livejournal,4,292.0,7.0710678118654755,2,288.5,1.0121317157712304,0.988013698630137,0.24700342465753425
bfs,livejournal,6,378.0,2.8284271247461903,2,288.5,1.3102253032928943,0.7632275132275133,0.12720458553791889
bfs,livejournal,8,675.0,14.142135623730951,2,288.5,2.339688041594454,0.4274074074074074,0.053425925925925925
bfs,rgg,1,40.5,7.7781745930520225,2,40.5,1.0,1.0,1.0
bfs,rgg,2,30.5,0.7071067811865476,2,40.5,0.7530864197530864,1.3278688524590163,0.6639344262295082
bfs,rgg,4,30.5,2.1213203435596424,2,40.5,0.7530864197530864,1.3278688524590163,0.3319672131147541
bfs,rgg,6,32.0,1.4142135623730951,2,40.5,0.7901234567901234,1.265625,0.2109375
bfs,rgg,8,37.5,2.1213203435596424,2,40.5,0.9259259259259259,1.08,0.135
bfs,roadnet,1,1422.0,35.35533905932738,2,1422.0,1.0,1.0,1.0
bfs,roadnet,2,414.0,4.242640687119285,2,1422.0,0.2911392405063291,3.4347826086956523,1.7173913043478262
bfs,roadnet,4,445.0,7.0710678118654755,2,1422.0,0.3129395218002813,3.195505617977528,0.798876404494382
bfs,roadnet,6,490.0,33.94112549695428,2,1422.0,0.34458509142053445,2.9020408163265308,0.48367346938775513
bfs,roadnet,8,643.5,7.7781745930520225,2,1422.0,0.4525316455696203,2.2097902097902096,0.2762237762237762
cc,livejournal,1,266.0,25.45584412271571,2,266.0,1.0,1.0,1.0
cc,livejournal,2,370.0,9.899494936611665,2,266.0,1.3909774436090225,0.7189189189189189,0.35945945945945945
cc,livejournal,4,504.0,56.568542494923804,2,266.0,1.894736842105263,0.5277777777777778,0.13194444444444445
cc,livejournal,6,539.5,20.506096654409877,2,266.0,2.0281954887218046,0.49304911955514363,0.0821748532591906
cc,livejournal,8,1016.5,111.01576464628796,2,266.0,3.8214285714285716,0.2616822429906542,0.03271028037383177
cc,rgg,1,1197.5,54.44722215136416,2,1197.5,1.0,1.0,1.0
cc,rgg,2,341.0,59.39696961966999,2,1197.5,0.2847599164926931,3.5117302052785924,1.7558651026392962
cc,rgg,4,178.5,20.506096654409877,2,1197.5,0.14906054279749478,6.708683473389356,1.677170868347339
cc,rgg,6,169.0,2.8284271247461903,2,1197.5,0.14112734864300627,7.085798816568047,1.180966469428008
cc,rgg,8,212.5,12.020815280171307,2,1197.5,0.17745302713987474,5.635294117647059,0.7044117647058824
cc,roadnet,1,1496.5,129.4005409571382,2,1496.5,1.0,1.0,1.0
cc,roadnet,2,283.0,4.242640687119285,2,1496.5,0.18910791847644504,5.287985865724382,2.643992932862191
cc,roadnet,4,272.5,17.67766952966369,2,1496.5,0.1820915469428667,5.491743119266055,1.3729357798165138
cc,roadnet,6,254.5,26.16295090390226,2,1496.5,0.17006348145673236,5.880157170923379,0.9800261951538966
cc,roadnet,8,445.0,29.698484809834994,2,1496.5,0.29736050785165385,3.3629213483146065,0.4203651685393258
pagerank,livejournal,1,4547.5,177.48380207782344,2,4547.5,1.0,1.0,1.0
pagerank,livejournal,2,4171.0,162.63455967290594,2,4547.5,0.9172072567344695,1.090266123231839,0.5451330616159195
pagerank,livejournal,4,4235.0,472.34732983261375,2,4547.5,0.9312809235843871,1.0737898465171192,0.2684474616292798
pagerank,livejournal,6,4487.5,84.14570696119915,2,4547.5,0.9868059373282023,1.0133704735376046,0.1688950789229341
pagerank,livejournal,8,7138.5,98.2878425849301,2,4547.5,1.5697636063771303,0.6370385935420606,0.07962982419275758
pagerank,rgg,1,1117.5,58.68986283848344,2,1117.5,1.0,1.0,1.0
pagerank,rgg,2,935.0,7.0710678118654755,2,1117.5,0.8366890380313199,1.195187165775401,0.5975935828877005
pagerank,rgg,4,895.5,0.7071067811865476,2,1117.5,0.8013422818791947,1.2479061976549413,0.3119765494137353
pagerank,rgg,6,1118.5,37.476659402887016,2,1117.5,1.0008948545861298,0.9991059454626732,0.1665176575771122
pagerank,rgg,8,1366.5,3.5355339059327378,2,1117.5,1.2228187919463087,0.8177826564215148,0.10222283205268935
pagerank,roadnet,1,409.0,84.8528137423857,2,409.0,1.0,1.0,1.0
pagerank,roadnet,2,117.5,13.435028842544403,2,409.0,0.28728606356968217,3.480851063829787,1.7404255319148936
pagerank,roadnet,4,136.0,35.35533905932738,2,409.0,0.33251833740831294,3.0073529411764706,0.7518382352941176
pagerank,roadnet,6,162.0,56.568542494923804,2,409.0,0.3960880195599022,2.5246913580246915,0.4207818930041152
pagerank,roadnet,8,153.5,9.192388155425117,2,409.0,0.3753056234718826,2.6644951140065145,0.3330618892508143
