algorithm,graph,num_hosts,run,time_ms
bfs,livejournal,1,1,308
bfs,livejournal,1,2,269
bfs,livejournal,2,1,248
bfs,livejournal,2,2,235
bfs,livejournal,4,1,287
bfs,livejournal,4,2,297
bfs,livejournal,6,1,376
bfs,livejournal,6,2,380
bfs,livejournal,8,1,665
bfs,livejournal,8,2,685
bfs,rgg,1,1,46
bfs,rgg,1,2,35
bfs,rgg,2,1,30
bfs,rgg,2,2,31
bfs,rgg,4,1,29
bfs,rgg,4,2,32
bfs,rgg,6,1,33
bfs,rgg,6,2,31
bfs,rgg,8,1,36
bfs,rgg,8,2,39
bfs,roadnet,1,1,1447
bfs,roadnet,1,2,1397
bfs,roadnet,2,1,411
bfs,roadnet,2,2,417
bfs,roadnet,4,1,440
bfs,roadnet,4,2,450
bfs,roadnet,6,1,514
bfs,roadnet,6,2,466
bfs,roadnet,8,1,649
bfs,roadnet,8,2,638
pagerank,livejournal,1,1,4422
pagerank,livejournal,1,2,4673
pagerank,livejournal,2,1,4286
pagerank,livejournal,2,2,4056
pagerank,livejournal,4,1,3901
pagerank,livejournal,4,2,4569
pagerank,livejournal,6,1,4547
pagerank,livejournal,6,2,4428
pagerank,livejournal,8,1,7069
pagerank,livejournal,8,2,7208
pagerank,rgg,1,1,1159
pagerank,rgg,1,2,1076
pagerank,rgg,2,1,940
pagerank,rgg,2,2,930
pagerank,rgg,4,1,895
pagerank,rgg,4,2,896
pagerank,rgg,6,1,1145
pagerank,rgg,6,2,1092
pagerank,rgg,8,1,1364
pagerank,rgg,8,2,1369
pagerank,roadnet,1,1,469
pagerank,roadnet,1,2,349
pagerank,roadnet,2,1,108
pagerank,roadnet,2,2,127
pagerank,roadnet,4,1,161
pagerank,roadnet,4,2,111
pagerank,roadnet,6,1,202
pagerank,roadnet,6,2,122
pagerank,roadnet,8,1,147
pagerank,roadnet,8,2,160
cc,livejournal,1,1,284
cc,livejournal,1,2,248
cc,livejournal,2,1,377
cc,livejournal,2,2,363
cc,livejournal,4,1,544
cc,livejournal,4,2,464
cc,livejournal,6,1,525
cc,livejournal,6,2,554
cc,livejournal,8,1,1095
cc,livejournal,8,2,938
cc,rgg,1,1,1159
cc,rgg,1,2,1236
cc,rgg,2,1,383
cc,rgg,2,2,299
cc,rgg,4,1,164
cc,rgg,4,2,193
cc,rgg,6,1,167
cc,rgg,6,2,171
cc,rgg,8,1,204
cc,rgg,8,2,221
cc,roadnet,1,1,1588
cc,roadnet,1,2,1405
cc,roadnet,2,1,286
cc,roadnet,2,2,280
cc,roadnet,4,1,285
cc,roadnet,4,2,260
cc,roadnet,6,1,236
cc,roadnet,6,2,273
cc,roadnet,8,1,424
cc,roadnet,8,2,466
