algo,graph,n_hosts,compute,sync,reset,total,pct_compute,pct_sync,pct_reset,iters,work_M
bfs,livejournal,1,314.0,0.0,0.0,314.0,100.0,0.0,0.0,13,10.493971
bfs,livejournal,2,246.0,89.0,0.0,335.0,73.43283582089552,26.56716417910448,0.0,16,10.235101
bfs,livejournal,4,289.0,217.0,0.0,506.0,57.11462450592886,42.88537549407115,0.0,20,18.794698
bfs,livejournal,6,419.0,364.0,0.0,783.0,53.51213282247765,46.487867177522354,0.0,27,24.454904
bfs,livejournal,8,661.0,187.0,0.0,848.0,77.94811320754717,22.05188679245283,0.0,26,28.678307
bfs,rgg,1,47.0,0.0,0.0,47.0,100.0,0.0,0.0,2,0.0
bfs,rgg,2,32.0,0.0,0.0,32.0,100.0,0.0,0.0,2,0.0
bfs,rgg,4,29.0,1.0,0.0,30.0,96.66666666666667,3.3333333333333335,0.0,3,0.0
bfs,rgg,6,28.0,13.0,0.0,41.0,68.29268292682927,31.70731707317073,0.0,5,0.0
bfs,rgg,8,35.0,1.0,0.0,36.0,97.22222222222221,2.7777777777777777,0.0,3,0.0
bfs,roadnet,1,1580.0,0.0,0.0,1580.0,100.0,0.0,0.0,256,57.851425
bfs,roadnet,2,616.0,116.0,0.0,732.0,84.15300546448088,15.846994535519126,0.0,258,62.762173
bfs,roadnet,4,699.0,284.0,0.0,983.0,71.1088504577823,28.891149542217704,0.0,342,51.18392
bfs,roadnet,6,685.0,417.0,0.0,1102.0,62.15970961887477,37.84029038112522,0.0,352,52.521933
bfs,roadnet,8,828.0,18.0,0.0,846.0,97.87234042553192,2.127659574468085,0.0,322,56.095224
pagerank,livejournal,1,4755.0,0.0,0.0,4755.0,100.0,0.0,0.0,93,6416.420889
pagerank,livejournal,2,4599.0,1127.0,127.0,5853.0,78.57508969759098,19.25508286348881,2.169827438920212,135,8210.259195
pagerank,livejournal,4,4314.0,3083.0,155.0,7552.0,57.123940677966104,40.82362288135593,2.0524364406779663,180,9710.874242
pagerank,livejournal,6,4438.0,5527.0,145.0,10110.0,43.8971315529179,54.66864490603363,1.434223541048467,209,11084.999801
pagerank,livejournal,8,7590.0,2079.0,113.0,9782.0,77.59149458188509,21.253322428951137,1.1551829891637702,234,11133.87165
pagerank,rgg,1,1382.0,0.0,0.0,1382.0,100.0,0.0,0.0,52,1578.678296
pagerank,rgg,2,1116.0,29.0,6.0,1151.0,96.95916594265856,2.519548218940052,0.5212858384013901,1959,1609.21094
pagerank,rgg,4,1106.0,38.0,11.0,1155.0,95.75757575757575,3.29004329004329,0.9523809523809524,2941,2132.857256
pagerank,rgg,6,1293.0,197.0,47.0,1537.0,84.1249186727391,12.817176317501627,3.057905009759271,18659,2044.841313
pagerank,rgg,8,1636.0,13.0,0.0,1649.0,99.2116434202547,0.7883565797453002,0.0,439651,2239.306797
pagerank,roadnet,1,551.0,0.0,0.0,551.0,100.0,0.0,0.0,62,171.529634
pagerank,roadnet,2,203.0,15.0,0.0,218.0,93.11926605504587,6.8807339449541285,0.0,78,195.045801
pagerank,roadnet,4,252.0,80.0,4.0,336.0,75.0,23.809523809523807,1.1904761904761905,96,224.786829
pagerank,roadnet,6,241.0,121.0,19.0,381.0,63.25459317585301,31.758530183727036,4.986876640419948,142,254.527821
pagerank,roadnet,8,237.0,0.0,0.0,237.0,100.0,0.0,0.0,89,206.11218
cc,livejournal,1,288.0,0.0,0.0,288.0,100.0,0.0,0.0,9,6.054924
cc,livejournal,2,384.0,69.0,0.0,453.0,84.76821192052981,15.2317880794702,0.0,17,12.088376
cc,livejournal,4,555.0,250.0,0.0,805.0,68.94409937888199,31.05590062111801,0.0,23,13.156392
cc,livejournal,6,507.0,332.0,0.0,839.0,60.42908224076281,39.57091775923719,0.0,24,13.152232
cc,livejournal,8,1085.0,166.0,0.0,1251.0,86.73061550759392,13.269384492406076,0.0,35,13.89299
cc,rgg,1,1186.0,0.0,0.0,1186.0,100.0,0.0,0.0,57,20.912803
cc,rgg,2,399.0,1.0,0.0,400.0,99.75,0.25,0.0,24,10.976158
cc,rgg,4,171.0,1.0,0.0,172.0,99.4186046511628,0.5813953488372093,0.0,25,9.823147
cc,rgg,6,168.0,9.0,0.0,177.0,94.91525423728814,5.084745762711865,0.0,24,10.263314
cc,rgg,8,239.0,2.0,0.0,241.0,99.1701244813278,0.8298755186721992,0.0,23,7.291408
cc,roadnet,1,1682.0,0.0,0.0,1682.0,100.0,0.0,0.0,190,37.887158
cc,roadnet,2,429.0,113.0,0.0,542.0,79.15129151291514,20.84870848708487,0.0,192,41.718634
cc,roadnet,4,461.0,254.0,0.0,715.0,64.47552447552447,35.52447552447553,0.0,217,37.576895
cc,roadnet,6,425.0,319.0,0.0,744.0,57.123655913978496,42.876344086021504,0.0,211,32.938892
cc,roadnet,8,533.0,17.0,0.0,550.0,96.9090909090909,3.090909090909091,0.0,220,34.45249
