Graph,Library,Device,TotalTime_ms,Iters,MS_per_Iter
soc-LiveJournal1.mtx,LAGraph,CPU,1934.436500,25,77.377460
soc-LiveJournal1.mtx,LAGraph,CPU,1833.131334,25,73.325253
soc-LiveJournal1.mtx,LAGraph,CPU,1853.422000,25,74.136880
soc-LiveJournal1.mtx,LAGraph,CPU,1833.921500,25,73.356860
soc-LiveJournal1.mtx,LAGraph,CPU,2052.509083,25,82.100363
roadNet-CA.mtx,LAGraph,CPU,348.817291,34,10.259332
roadNet-CA.mtx,LAGraph,CPU,333.708125,34,9.814945
roadNet-CA.mtx,LAGraph,CPU,329.471667,34,9.690343
roadNet-CA.mtx,LAGraph,CPU,346.781208,34,10.199447
roadNet-CA.mtx,LAGraph,CPU,350.134583,34,10.298076
rgg_n_2_22_s0.mtx,LAGraph,CPU,882.224375,19,46.432862
rgg_n_2_22_s0.mtx,LAGraph,CPU,906.546833,19,47.712991
rgg_n_2_22_s0.mtx,LAGraph,CPU,922.067958,19,48.529893
rgg_n_2_22_s0.mtx,LAGraph,CPU,873.419500,19,45.969447
rgg_n_2_22_s0.mtx,LAGraph,CPU,877.872500,19,46.203816
soc-LiveJournal1.mtx,SPLA,GPU,320.637,1,320.637
soc-LiveJournal1.mtx,SPLA,GPU,59.891,2,59.891
soc-LiveJournal1.mtx,SPLA,GPU,60.676,3,60.676
soc-LiveJournal1.mtx,SPLA,GPU,62.6,4,62.6
soc-LiveJournal1.mtx,SPLA,GPU,63.231,5,63.231
soc-LiveJournal1.mtx,SPLA,GPU,62.013,6,62.013
roadNet-CA.mtx,SPLA,GPU,43.114,1,43.114
roadNet-CA.mtx,SPLA,GPU,14.815,2,14.815
roadNet-CA.mtx,SPLA,GPU,16.046,3,16.046
roadNet-CA.mtx,SPLA,GPU,15.069,4,15.069
roadNet-CA.mtx,SPLA,GPU,15.287,5,15.287
roadNet-CA.mtx,SPLA,GPU,15.344,6,15.344
rgg_n_2_22_s0.mtx,SPLA,GPU,161.31,1,161.31
rgg_n_2_22_s0.mtx,SPLA,GPU,26.081,2,26.081
rgg_n_2_22_s0.mtx,SPLA,GPU,29.194,3,29.194
rgg_n_2_22_s0.mtx,SPLA,GPU,28.773,4,28.773
rgg_n_2_22_s0.mtx,SPLA,GPU,22.89,5,22.89
rgg_n_2_22_s0.mtx,SPLA,GPU,24.069,6,24.069
